Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 143, Row: 18, Price: $57, Est. Price: $91.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9058668875
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 136, Row: 28, Price: $57, Est. Price: $91.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9089666403
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 313, Row: 6, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9111169543
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 106, Row: 25, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8836712865
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 110, Row: 39, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9074305079
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 108, Row: 27, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9057209892
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 136, Row: 27, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9093808586
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 318, Row: 5, Price: $59, Est. Price: $94.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9072268929
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 111, Row: 2, Price: $60, Est. Price: $96.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8793689240
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 112, Row: 9, Price: $60, Est. Price: $96.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8903474197
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 107, Row: 28, Price: $60, Est. Price: $96.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8936892591
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 112, Row: 7, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8793714768
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 103, Row: 15, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9091321443
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 110, Row: 7, Price: $62, Est. Price: $89.90, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8943074854
